,Strike #,FVEY,Country,DTG,Date,Time,ATO,Engage Unit,DEL/DYN,Entity ID,O-Suffix,Cat Code,Entity Name,City Name,Province,ROE,Target Function,T1#,Target_1,T2#,Target_2,Lat,Long,MGRS,Observer,Aircraft,Callsign,AC Base,Nationality,ORD1,Ordinance_1,ORD2,Ordinance_2,Targets Remark,Physical,Confidence,Functional,Recoup Time,MEA,CDA,MISREP
10,29442,TS/SCI,US,240054ZNOV03,24-Nov-03,0054Z,AA,AW-17,Deliberate,8071-65240,zp144,50205,Loon Mountain,Lincoln,Graftron,306,Function,8,RUNWAYS,6,BARRACKS,44.869,-71.621,???,ZEMX87,AC-130,MSIO65,Bristol AFB,USA,4,Bofors 40mm,2,105mm M102,Comment,light,light,heavy,0,light,heavy,"MSIO65, 24-NOV-03, info"
11,21753,TS/SCI,US,250652ZMAY15,25-May-15,0652Z,AA,AW-17,Dynamic,1913-84600,wf963,20101,Loon Mountain,Lincoln,Graftron,421,Function,1,BARRACKS,3,OFFICE,44.869,-71.621,???,OZZY88,SR-71,MXXW73,Bristol AFB,USA,4,105mm M102,5,25mm GAU-12,Comment,med,med,light,0,heavy,light,"MXXW73, 25-MAY-15, info"
12,50684,TS/SCI,US,210214ZFEB04,21-Feb-04,0214Z,AA,AW-17,Deliberate,4552-50806,me163,40105,Loon Mountain,Lincoln,Graftron,359,Function,4,OFFICE,9,OFFICE,44.869,-71.621,???,XGXA72,F-16,LLJM82,Bristol AFB,USA,5,Bofors 40mm,2,Bofors 40mm,Comment,light,light,light,0,med,light,"LLJM82, 21-FEB-04, info"
13,13297,TS/SCI,US,251222ZAPR06,25-Apr-06,1222Z,AA,AW-17,Dynamic,3092-01466,yv258,10104,Sunday River,Newry,Oxford,466,Function,10,RUNWAYS,7,OFFICE,44.869,-70.861,???,VVMT75,AC-130,GQGY70,Bristol AFB,USA,1,Bofors 40mm,4,105mm M102,Comment,heavy,light,light,0,heavy,med,"GQGY70, 25-APR-06, info"
14,35361,TS/SCI,US,201243ZOCT03,20-Oct-03,1243Z,AA,AW-17,Dynamic,5214-33157,qv481,30203,Loon Mountain,Lincoln,Graftron,497,Function,10,RUNWAYS,6,OFFICE,44.869,-71.621,???,PZXU89,SR-71,ZWFH69,Bristol AFB,USA,2,105mm M102,5,105mm M102,Comment,heavy,med,light,0,med,light,"ZWFH69, 20-OCT-03, info"
15,80304,TS/SCI,US,151635ZOCT09,15-Oct-09,1635Z,AA,AW-17,Deliberate,4409-51233,dr092,50203,Sunday River,Newry,Oxford,760,Function,7,BARRACKS,8,BARRACKS,44.869,-70.861,???,UYHC75,F-16,NEST77,Bristol AFB,USA,2,25mm GAU-12,2,Bofors 40mm,Comment,heavy,heavy,heavy,0,heavy,light,"NEST77, 15-OCT-09, info"
16,78765,TS/SCI,US,061953ZSEP15,6-Sep-15,1953Z,AA,AW-17,Dynamic,2904-23261,od173,10203,Loon Mountain,Lincoln,Graftron,135,Function,9,RUNWAYS,10,OFFICE,44.869,-71.621,???,NIQX70,SR-71,GTGO71,Bristol AFB,USA,5,105mm M102,2,25mm GAU-12,Comment,med,heavy,light,0,light,light,"GTGO71, 06-SEP-15, info"
17,7754,TS/SCI,US,192108ZSEP00,19-Sep-00,2108Z,AA,AW-17,Deliberate,0704-11804,al744,20103,Loon Mountain,Lincoln,Graftron,841,Function,3,OFFICE,9,BARRACKS,44.869,-71.621,???,DRFI69,F-16,GLEM70,Bristol AFB,USA,2,Bofors 40mm,4,105mm M102,Comment,light,light,light,0,heavy,light,"GLEM70, 19-SEP-00, info"
18,93785,TS/SCI,US,141654ZOCT09,14-Oct-09,1654Z,AA,AW-17,Deliberate,3529-42818,du498,10103,Sunday River,Newry,Oxford,495,Function,8,RUNWAYS,7,BARRACKS,44.869,-70.861,???,ZGOY77,F-16,EBCA71,Bristol AFB,USA,2,Bofors 40mm,5,25mm GAU-12,Comment,light,med,light,0,light,heavy,"EBCA71, 14-OCT-09, info"
19,78227,TS/SCI,US,191130ZNOV05,19-Nov-05,1130Z,AA,AW-17,Dynamic,8580-16997,wc803,10105,Loon Mountain,Lincoln,Graftron,539,Function,2,OFFICE,1,RUNWAYS,44.869,-71.621,???,KHDF77,F-16,JASL75,Bristol AFB,USA,1,105mm M102,5,Bofors 40mm,Comment,med,heavy,med,0,heavy,light,"JASL75, 19-NOV-05, info"
20,39454,TS/SCI,US,160712ZFEB12,16-Feb-12,0712Z,AA,AW-17,Dynamic,0649-15288,sy076,50103,Sunday River,Newry,Oxford,917,Function,4,OFFICE,9,BARRACKS,44.869,-70.861,???,WQDL89,SR-71,EQMO80,Bristol AFB,USA,1,105mm M102,2,25mm GAU-12,Comment,light,light,light,0,light,med,"EQMO80, 16-FEB-12, info"
21,58105,TS/SCI,US,271702ZAUG12,27-Aug-12,1702Z,AA,AW-17,Dynamic,5682-89118,hs196,20102,Sunday River,Newry,Oxford,161,Function,3,BARRACKS,5,OFFICE,44.869,-70.861,???,XOZM74,AC-130,EQPD79,Bristol AFB,USA,2,105mm M102,1,105mm M102,Comment,med,med,light,0,med,light,"EQPD79, 27-AUG-12, info"
22,39183,TS/SCI,US,120521ZMAR07,12-Mar-07,0521Z,AA,AW-17,Dynamic,0752-54979,bm200,10101,Sunday River,Newry,Oxford,243,Function,3,RUNWAYS,10,OFFICE,44.869,-70.861,???,UPBN67,SR-71,AQDG73,Bristol AFB,USA,5,25mm GAU-12,4,105mm M102,Comment,med,light,light,0,med,heavy,"AQDG73, 12-MAR-07, info"
23,41081,TS/SCI,US,051341ZNOV12,5-Nov-12,1341Z,AA,AW-17,Deliberate,9075-25232,no582,20105,Sunday River,Newry,Oxford,124,Function,3,RUNWAYS,2,BARRACKS,44.869,-70.861,???,GOXC83,AC-130,KAHP86,Bristol AFB,USA,2,Bofors 40mm,2,25mm GAU-12,Comment,light,light,heavy,0,med,med,"KAHP86, 05-NOV-12, info"
24,64557,TS/SCI,US,030829ZOCT02,3-Oct-02,0829Z,AA,AW-17,Deliberate,8492-64689,jh240,30203,Sunday River,Newry,Oxford,676,Function,8,OFFICE,3,RUNWAYS,44.869,-70.861,???,FMRW87,SR-71,HRAN83,Bristol AFB,USA,4,105mm M102,4,25mm GAU-12,Comment,heavy,heavy,med,0,med,light,"HRAN83, 03-OCT-02, info"
25,48769,TS/SCI,US,052018ZJAN01,5-Jan-01,2018Z,AA,AW-17,Deliberate,8868-65962,xn335,40105,Loon Mountain,Lincoln,Graftron,607,Function,9,OFFICE,10,RUNWAYS,44.869,-71.621,???,VOUI87,AC-130,LJTY70,Bristol AFB,USA,1,Bofors 40mm,3,25mm GAU-12,Comment,light,light,light,0,light,heavy,"LJTY70, 05-JAN-01, info"
26,40351,TS/SCI,US,271207ZOCT01,27-Oct-01,1207Z,AA,AW-17,Deliberate,3978-29834,md639,30203,Loon Mountain,Lincoln,Graftron,768,Function,3,OFFICE,2,OFFICE,44.869,-71.621,???,RAKQ79,AC-130,UQAN71,Bristol AFB,USA,3,105mm M102,5,25mm GAU-12,Comment,med,heavy,light,0,light,light,"UQAN71, 27-OCT-01, info"
27,679,TS/SCI,US,200657ZAPR05,20-Apr-05,0657Z,AA,AW-17,Deliberate,9353-87156,ut687,30104,Loon Mountain,Lincoln,Graftron,303,Function,1,RUNWAYS,1,RUNWAYS,44.869,-71.621,???,YAUV70,AC-130,LFJQ66,Bristol AFB,USA,2,25mm GAU-12,1,105mm M102,Comment,med,heavy,heavy,0,heavy,med,"LFJQ66, 20-APR-05, info"
28,29496,TS/SCI,US,232123ZFEB14,23-Feb-14,2123Z,AA,AW-17,Dynamic,6606-65226,oa173,20203,Loon Mountain,Lincoln,Graftron,461,Function,2,RUNWAYS,8,OFFICE,44.869,-71.621,???,TLFT67,AC-130,WAAS79,Bristol AFB,USA,1,25mm GAU-12,1,25mm GAU-12,Comment,heavy,light,med,0,heavy,light,"WAAS79, 23-FEB-14, info"
29,3685,TS/SCI,US,031525ZMAY14,3-May-14,1525Z,AA,AW-17,Dynamic,1863-20634,bq680,30201,Loon Mountain,Lincoln,Graftron,398,Function,10,RUNWAYS,5,OFFICE,44.869,-71.621,???,TPRR76,AC-130,UUJC67,Bristol AFB,USA,5,Bofors 40mm,3,105mm M102,Comment,light,heavy,light,0,light,light,"UUJC67, 03-MAY-14, info"
30,92299,TS/SCI,US,240750ZFEB15,24-Feb-15,0750Z,AA,AW-17,Deliberate,1972-45346,sk368,20105,Sunday River,Newry,Oxford,164,Function,5,BARRACKS,7,RUNWAYS,44.869,-70.861,???,VKUV82,F-16,YGBL80,Bristol AFB,USA,5,25mm GAU-12,5,Bofors 40mm,Comment,light,light,light,0,med,light,"YGBL80, 24-FEB-15, info"
31,93975,TS/SCI,US,091222ZSEP02,9-Sep-02,1222Z,AA,AW-17,Dynamic,2040-84840,ej262,50203,Sunday River,Newry,Oxford,664,Function,6,RUNWAYS,10,RUNWAYS,44.869,-70.861,???,BURN87,SR-71,RCEP70,Bristol AFB,USA,3,105mm M102,3,25mm GAU-12,Comment,light,heavy,med,0,light,med,"RCEP70, 09-SEP-02, info"
32,75864,TS/SCI,US,251005ZNOV12,25-Nov-12,1005Z,AA,AW-17,Dynamic,1126-17946,pp967,20202,Sunday River,Newry,Oxford,693,Function,8,RUNWAYS,5,OFFICE,44.869,-70.861,???,ARQO79,SR-71,UTZF88,Bristol AFB,USA,4,Bofors 40mm,5,25mm GAU-12,Comment,heavy,heavy,med,0,light,light,"UTZF88, 25-NOV-12, info"
33,43033,TS/SCI,US,111731ZAPR05,11-Apr-05,1731Z,AA,AW-17,Deliberate,1689-58340,sc637,50203,Sunday River,Newry,Oxford,451,Function,6,OFFICE,8,BARRACKS,44.869,-70.861,???,AHQZ78,F-16,UHNP73,Bristol AFB,USA,2,105mm M102,2,25mm GAU-12,Comment,light,med,heavy,0,heavy,light,"UHNP73, 11-APR-05, info"
34,14051,TS/SCI,US,270229ZJUN12,27-Jun-12,0229Z,AA,AW-17,Deliberate,3474-91561,ko149,30201,Loon Mountain,Lincoln,Graftron,966,Function,1,RUNWAYS,3,RUNWAYS,44.869,-71.621,???,MXZB80,AC-130,CAOO73,Bristol AFB,USA,3,25mm GAU-12,3,Bofors 40mm,Comment,med,light,med,0,med,light,"CAOO73, 27-JUN-12, info"
35,22401,TS/SCI,US,141328ZSEP08,14-Sep-08,1328Z,AA,AW-17,Dynamic,9752-13111,jc484,50205,Loon Mountain,Lincoln,Graftron,649,Function,1,BARRACKS,4,RUNWAYS,44.869,-71.621,???,FGGN74,F-16,YDRO83,Bristol AFB,USA,3,25mm GAU-12,4,105mm M102,Comment,light,light,med,0,heavy,light,"YDRO83, 14-SEP-08, info"
36,21711,TS/SCI,US,161741ZMAR05,16-Mar-05,1741Z,AA,AW-17,Dynamic,9699-16869,bi803,40204,Loon Mountain,Lincoln,Graftron,742,Function,3,OFFICE,9,BARRACKS,44.869,-71.621,???,EJNJ65,F-16,NSJD83,Bristol AFB,USA,1,Bofors 40mm,1,Bofors 40mm,Comment,light,heavy,light,0,heavy,light,"NSJD83, 16-MAR-05, info"
37,35269,TS/SCI,US,101044ZAUG14,10-Aug-14,1044Z,AA,AW-17,Deliberate,8644-45251,rf033,20103,Sunday River,Newry,Oxford,751,Function,2,OFFICE,10,RUNWAYS,44.869,-70.861,???,MJSV71,AC-130,GHWI76,Bristol AFB,USA,5,105mm M102,3,25mm GAU-12,Comment,light,heavy,med,0,med,light,"GHWI76, 10-AUG-14, info"
38,36714,TS/SCI,US,211627ZAUG10,21-Aug-10,1627Z,AA,AW-17,Deliberate,9438-27029,ft303,40101,Sunday River,Newry,Oxford,374,Function,4,OFFICE,5,BARRACKS,44.869,-70.861,???,NWZR81,SR-71,LZTP80,Bristol AFB,USA,1,25mm GAU-12,2,Bofors 40mm,Comment,med,light,light,0,light,heavy,"LZTP80, 21-AUG-10, info"
39,31890,TS/SCI,US,131949ZOCT10,13-Oct-10,1949Z,AA,AW-17,Dynamic,5040-03931,ic883,20202,Loon Mountain,Lincoln,Graftron,183,Function,6,BARRACKS,10,OFFICE,44.869,-71.621,???,AOWR76,SR-71,KHKO67,Bristol AFB,USA,1,105mm M102,4,25mm GAU-12,Comment,light,light,light,0,light,light,"KHKO67, 13-OCT-10, info"
40,79198,TS/SCI,US,170053ZAUG10,17-Aug-10,0053Z,AA,AW-17,Dynamic,6540-50586,ge253,50103,Sunday River,Newry,Oxford,166,Function,1,RUNWAYS,7,BARRACKS,44.869,-70.861,???,UGXB90,SR-71,RHDU69,Bristol AFB,USA,3,Bofors 40mm,2,Bofors 40mm,Comment,light,heavy,light,0,med,light,"RHDU69, 17-AUG-10, info"
41,85750,TS/SCI,US,100652ZJUN02,10-Jun-02,0652Z,AA,AW-17,Dynamic,3582-29286,vp368,20102,Sunday River,Newry,Oxford,917,Function,7,BARRACKS,9,RUNWAYS,44.869,-70.861,???,QYOM72,AC-130,GYXC69,Bristol AFB,USA,1,25mm GAU-12,2,25mm GAU-12,Comment,light,med,light,0,light,med,"GYXC69, 10-JUN-02, info"
42,96277,TS/SCI,US,262034ZJUL13,26-Jul-13,2034Z,AA,AW-17,Dynamic,3355-42939,sy233,20102,Sunday River,Newry,Oxford,775,Function,7,OFFICE,5,RUNWAYS,44.869,-70.861,???,OLVH82,SR-71,CRGZ89,Bristol AFB,USA,1,105mm M102,4,25mm GAU-12,Comment,light,light,light,0,med,light,"CRGZ89, 26-JUL-13, info"
43,16885,TS/SCI,US,280445ZNOV01,28-Nov-01,0445Z,AA,AW-17,Dynamic,9220-09547,zw870,10105,Sunday River,Newry,Oxford,116,Function,3,OFFICE,2,RUNWAYS,44.869,-70.861,???,GDRE78,SR-71,KRAA85,Bristol AFB,USA,4,Bofors 40mm,2,25mm GAU-12,Comment,heavy,heavy,light,0,light,light,"KRAA85, 28-NOV-01, info"
44,24281,TS/SCI,US,012152ZMAY09,1-May-09,2152Z,AA,AW-17,Deliberate,5497-34113,vz212,10104,Sunday River,Newry,Oxford,714,Function,2,BARRACKS,7,BARRACKS,44.869,-70.861,???,OPNH67,AC-130,OWSU68,Bristol AFB,USA,2,Bofors 40mm,2,25mm GAU-12,Comment,med,heavy,heavy,0,med,light,"OWSU68, 01-MAY-09, info"
45,46602,TS/SCI,US,131408ZJUN09,13-Jun-09,1408Z,AA,AW-17,Deliberate,5723-07298,ac607,20203,Sunday River,Newry,Oxford,112,Function,5,BARRACKS,2,OFFICE,44.869,-70.861,???,DUPD85,SR-71,OTLE71,Bristol AFB,USA,4,105mm M102,4,25mm GAU-12,Comment,light,light,heavy,0,light,light,"OTLE71, 13-JUN-09, info"
46,70499,TS/SCI,US,252014ZNOV12,25-Nov-12,2014Z,AA,AW-17,Dynamic,7024-55978,lb658,10202,Sunday River,Newry,Oxford,567,Function,1,RUNWAYS,1,BARRACKS,44.869,-70.861,???,YEIL74,SR-71,VOUO74,Bristol AFB,USA,4,Bofors 40mm,1,25mm GAU-12,Comment,light,light,light,0,light,light,"VOUO74, 25-NOV-12, info"
47,74374,TS/SCI,US,040850ZJUL15,4-Jul-15,0850Z,AA,AW-17,Dynamic,5759-50834,ja322,30101,Sunday River,Newry,Oxford,823,Function,10,BARRACKS,1,RUNWAYS,44.869,-70.861,???,BWTA72,AC-130,WAGQ65,Bristol AFB,USA,1,Bofors 40mm,1,25mm GAU-12,Comment,light,med,heavy,0,light,light,"WAGQ65, 04-JUL-15, info"
48,73130,TS/SCI,US,070224ZMAR09,7-Mar-09,0224Z,AA,AW-17,Dynamic,0266-91160,hq374,50202,Sunday River,Newry,Oxford,618,Function,4,BARRACKS,6,RUNWAYS,44.869,-70.861,???,QPON81,F-16,MBMX85,Bristol AFB,USA,2,105mm M102,2,25mm GAU-12,Comment,light,light,light,0,med,light,"MBMX85, 07-MAR-09, info"
49,31896,TS/SCI,US,150705ZJUN10,15-Jun-10,0705Z,AA,AW-17,Deliberate,0266-99290,qk293,30101,Loon Mountain,Lincoln,Graftron,314,Function,10,OFFICE,3,BARRACKS,44.869,-71.621,???,OGNY68,F-16,XZIQ79,Bristol AFB,USA,2,25mm GAU-12,2,105mm M102,Comment,light,light,light,0,light,heavy,"XZIQ79, 15-JUN-10, info"
