,Strike #,FVEY,Country,DTG,Date,Time,ATO,Engage Unit,DEL/DYN,Entity ID,O-Suffix,Cat Code,Entity Name,City Name,Province,ROE,Target Function,T1#,Target_1,T2#,Target_2,Lat,Long,MGRS,Observer,Aircraft,Callsign,AC Base,Nationality,ORD1,Ordinance_1,ORD2,Ordinance_2,Targets Remark,Physical,Confidence,Functional,Recoup Time,MEA,CDA,MISREP
10,98968,TS/SCI,US,190919ZMAY09,19-MAY-09,0919Z,AA,AW-17,Dynamic,6278-73374,xh152,10204,Sunday River,Newry,Oxford,501,Function,2,OFFICE,2,BARRACKS,44.469,-70.861,???,BREX73,SR-71,JHVF72,Bristol AFB,USA,4,105mm M102,5,105mm M102,Comment,heavy,med,heavy,0,light,heavy,"JHVF72, 19-MAY-09, info"
11,05176,TS/SCI,US,140607ZJUL10,14-JUL-10,0607Z,AA,AW-17,Deliberate,6736-43730,gs601,30102,Loon Mountain,Lincoln,Graftron,151,Function,6,RUNWAYS,1,OFFICE,44.036,-71.621,???,RGWZ89,AC-130,KEIY80,Bristol AFB,USA,5,25mm GAU-12,3,Bofors 40mm,Comment,med,light,med,0,light,heavy,"KEIY80, 14-JUL-10, info"
12,09311,TS/SCI,US,112006ZMAY13,11-MAY-13,2006Z,AA,AW-17,Deliberate,3439-52769,dl989,50203,Sunday River,Newry,Oxford,137,Function,3,RUNWAYS,7,OFFICE,44.469,-70.861,???,JROZ81,AC-130,CGYZ75,Bristol AFB,USA,3,105mm M102,3,105mm M102,Comment,light,heavy,med,0,light,med,"CGYZ75, 11-MAY-13, info"
13,71613,TS/SCI,US,100054ZJUN02,10-JUN-02,0054Z,AA,AW-17,Dynamic,9946-69788,bj012,20102,Random,r,R,417,Function,3,BARRACKS,4,RUNWAYS,82,67,???,ZCPE77,F-16,OIOU75,Bristol AFB,USA,4,Bofors 40mm,4,Bofors 40mm,Comment,heavy,light,light,0,light,light,"OIOU75, 10-JUN-02, info"
14,25020,TS/SCI,US,191601ZAUG13,19-AUG-13,1601Z,AA,AW-17,Dynamic,0585-91625,oh419,20101,Random,r,R,329,Function,7,RUNWAYS,8,BARRACKS,74,9,???,MELF89,AC-130,QJTM87,Bristol AFB,USA,5,Bofors 40mm,3,25mm GAU-12,Comment,light,light,light,0,heavy,heavy,"QJTM87, 19-AUG-13, info"
15,55289,TS/SCI,US,011919ZJUL11,01-JUL-11,1919Z,AA,AW-17,Deliberate,8614-10688,ta923,10101,Loon Mountain,Lincoln,Graftron,831,Function,5,OFFICE,8,BARRACKS,44.036,-71.621,???,TQTS85,F-16,ETZJ84,Bristol AFB,USA,4,105mm M102,4,105mm M102,Comment,light,heavy,heavy,0,light,med,"ETZJ84, 01-JUL-11, info"
16,84173,TS/SCI,US,280355ZJUL09,28-JUL-09,0355Z,AA,AW-17,Dynamic,9844-18992,ea385,40205,Loon Mountain,Lincoln,Graftron,260,Function,6,BARRACKS,4,BARRACKS,44.036,-71.621,???,EMUR85,SR-71,FOCB68,Bristol AFB,USA,2,105mm M102,3,105mm M102,Comment,light,light,heavy,0,heavy,light,"FOCB68, 28-JUL-09, info"
17,98901,TS/SCI,US,152256ZAPR14,15-APR-14,2256Z,AA,AW-17,Dynamic,9820-07140,jq813,40104,Sunday River,Newry,Oxford,872,Function,1,RUNWAYS,1,RUNWAYS,44.469,-70.861,???,JJGW76,F-16,KDFE83,Bristol AFB,USA,5,Bofors 40mm,2,Bofors 40mm,Comment,light,light,light,0,light,heavy,"KDFE83, 15-APR-14, info"
18,13335,TS/SCI,US,112051ZJAN07,11-JAN-07,2051Z,AA,AW-17,Deliberate,6844-35509,ff428,10202,Random,r,R,194,Function,7,OFFICE,7,OFFICE,8,8,???,KMWX81,AC-130,VVZP81,Bristol AFB,USA,4,25mm GAU-12,1,105mm M102,Comment,heavy,heavy,light,0,heavy,med,"VVZP81, 11-JAN-07, info"
19,92355,TS/SCI,US,091121ZFEB06,09-FEB-06,1121Z,AA,AW-17,Dynamic,6410-46153,na274,50202,Loon Mountain,Lincoln,Graftron,576,Function,6,RUNWAYS,6,RUNWAYS,44.036,-71.621,???,SQZS76,SR-71,FDCV68,Bristol AFB,USA,2,Bofors 40mm,1,105mm M102,Comment,light,light,light,0,light,light,"FDCV68, 09-FEB-06, info"
20,96693,TS/SCI,US,170236ZJAN00,17-JAN-00,0236Z,AA,AW-17,Deliberate,0330-84796,bx763,30103,Loon Mountain,Lincoln,Graftron,532,Function,2,RUNWAYS,10,OFFICE,44.036,-71.621,???,ZAPR75,AC-130,SMOO65,Bristol AFB,USA,4,105mm M102,4,25mm GAU-12,Comment,light,med,light,0,light,light,"SMOO65, 17-JAN-00, info"
21,53297,TS/SCI,US,091453ZOCT15,09-OCT-15,1453Z,AA,AW-17,Dynamic,4737-12018,yj769,20203,Sunday River,Newry,Oxford,201,Function,1,BARRACKS,2,BARRACKS,44.469,-70.861,???,ZZJM83,SR-71,XBFO74,Bristol AFB,USA,1,25mm GAU-12,5,Bofors 40mm,Comment,med,heavy,med,0,heavy,light,"XBFO74, 09-OCT-15, info"
22,65641,TS/SCI,US,150442ZFEB06,15-FEB-06,0442Z,AA,AW-17,Dynamic,4746-69584,ex789,40203,Random,r,R,268,Function,6,BARRACKS,2,OFFICE,54,24,???,ZNZD68,SR-71,UMLV72,Bristol AFB,USA,4,105mm M102,3,Bofors 40mm,Comment,med,light,light,0,med,med,"UMLV72, 15-FEB-06, info"
23,21118,TS/SCI,US,190308ZOCT14,19-OCT-14,0308Z,AA,AW-17,Deliberate,1962-40285,cf431,10103,Random,r,R,558,Function,4,OFFICE,6,OFFICE,23,72,???,BDQJ69,AC-130,SZSR74,Bristol AFB,USA,4,Bofors 40mm,5,25mm GAU-12,Comment,light,heavy,med,0,med,med,"SZSR74, 19-OCT-14, info"
24,44766,TS/SCI,US,261958ZNOV10,26-NOV-10,1958Z,AA,AW-17,Deliberate,7991-30487,yq770,40205,Loon Mountain,Lincoln,Graftron,475,Function,1,OFFICE,9,OFFICE,44.036,-71.621,???,IXAL85,F-16,KMRS75,Bristol AFB,USA,3,25mm GAU-12,2,105mm M102,Comment,med,light,light,0,light,light,"KMRS75, 26-NOV-10, info"
25,83021,TS/SCI,US,141558ZMAY03,14-MAY-03,1558Z,AA,AW-17,Dynamic,3990-68618,xl371,10102,Sunday River,Newry,Oxford,707,Function,2,OFFICE,9,BARRACKS,44.469,-70.861,???,EKDV79,SR-71,RVHQ65,Bristol AFB,USA,2,25mm GAU-12,5,Bofors 40mm,Comment,med,heavy,light,0,light,heavy,"RVHQ65, 14-MAY-03, info"
26,69888,TS/SCI,US,191616ZSEP00,19-SEP-00,1616Z,AA,AW-17,Deliberate,9029-44279,hu955,20202,Sunday River,Newry,Oxford,537,Function,5,BARRACKS,2,BARRACKS,44.469,-70.861,???,HGUG73,AC-130,SFYT65,Bristol AFB,USA,1,105mm M102,3,105mm M102,Comment,heavy,med,heavy,0,light,heavy,"SFYT65, 19-SEP-00, info"
27,36232,TS/SCI,US,250424ZAPR01,25-APR-01,0424Z,AA,AW-17,Dynamic,3230-66997,un505,10102,Random,r,R,808,Function,2,BARRACKS,5,BARRACKS,22,0,???,YMIC87,AC-130,HVLE65,Bristol AFB,USA,5,Bofors 40mm,2,25mm GAU-12,Comment,heavy,light,heavy,0,light,light,"HVLE65, 25-APR-01, info"
28,69659,TS/SCI,US,171448ZNOV13,17-NOV-13,1448Z,AA,AW-17,Dynamic,3163-86258,xo124,40105,Loon Mountain,Lincoln,Graftron,760,Function,4,OFFICE,2,BARRACKS,44.036,-71.621,???,EWNC83,SR-71,CYXI74,Bristol AFB,USA,5,Bofors 40mm,5,Bofors 40mm,Comment,med,heavy,light,0,heavy,med,"CYXI74, 17-NOV-13, info"
29,49728,TS/SCI,US,271628ZJAN01,27-JAN-01,1628Z,AA,AW-17,Deliberate,0758-65593,hh721,10201,Random,r,R,433,Function,3,OFFICE,10,BARRACKS,6,69,???,XZOA87,AC-130,VGWX74,Bristol AFB,USA,5,Bofors 40mm,4,25mm GAU-12,Comment,med,heavy,light,0,heavy,light,"VGWX74, 27-JAN-01, info"
30,08802,TS/SCI,US,151244ZOCT02,15-OCT-02,1244Z,AA,AW-17,Dynamic,3128-79393,ei348,40104,Sunday River,Newry,Oxford,955,Function,8,OFFICE,1,BARRACKS,44.469,-70.861,???,XAUV90,AC-130,DJDQ72,Bristol AFB,USA,4,105mm M102,2,25mm GAU-12,Comment,heavy,heavy,heavy,0,heavy,light,"DJDQ72, 15-OCT-02, info"
31,98332,TS/SCI,US,260314ZSEP04,26-SEP-04,0314Z,AA,AW-17,Deliberate,6932-49232,tu136,30102,Random,r,R,870,Function,9,RUNWAYS,2,BARRACKS,69,34,???,YRVY81,AC-130,CODG83,Bristol AFB,USA,2,105mm M102,3,Bofors 40mm,Comment,light,light,med,0,med,med,"CODG83, 26-SEP-04, info"
32,23812,TS/SCI,US,161253ZAUG06,16-AUG-06,1253Z,AA,AW-17,Dynamic,8366-75873,su159,40205,Loon Mountain,Lincoln,Graftron,339,Function,9,OFFICE,9,OFFICE,44.036,-71.621,???,XTNU80,F-16,ESFM89,Bristol AFB,USA,2,105mm M102,4,25mm GAU-12,Comment,light,heavy,light,0,med,med,"ESFM89, 16-AUG-06, info"
33,50770,TS/SCI,US,152150ZMAY03,15-MAY-03,2150Z,AA,AW-17,Dynamic,4907-17468,gc157,50205,Random,r,R,917,Function,7,RUNWAYS,10,BARRACKS,74,13,???,VYMD65,SR-71,MEYJ84,Bristol AFB,USA,3,25mm GAU-12,4,Bofors 40mm,Comment,light,light,heavy,0,light,med,"MEYJ84, 15-MAY-03, info"
34,37625,TS/SCI,US,211109ZAPR14,21-APR-14,1109Z,AA,AW-17,Dynamic,4323-80971,pv155,20104,Random,r,R,829,Function,1,OFFICE,4,RUNWAYS,42,6,???,KOGC78,SR-71,RIJM74,Bristol AFB,USA,3,105mm M102,1,25mm GAU-12,Comment,med,med,med,0,heavy,heavy,"RIJM74, 21-APR-14, info"
35,62794,TS/SCI,US,181800ZJAN04,18-JAN-04,1800Z,AA,AW-17,Dynamic,4642-50202,wo223,20104,Random,r,R,943,Function,9,OFFICE,4,OFFICE,67,88,???,LXNV69,AC-130,EGJJ76,Bristol AFB,USA,5,105mm M102,1,Bofors 40mm,Comment,light,light,med,0,light,light,"EGJJ76, 18-JAN-04, info"
36,72710,TS/SCI,US,220913ZNOV00,22-NOV-00,0913Z,AA,AW-17,Dynamic,5966-84562,tl198,40201,Loon Mountain,Lincoln,Graftron,275,Function,7,OFFICE,1,BARRACKS,44.036,-71.621,???,BIQS78,AC-130,DELW79,Bristol AFB,USA,2,105mm M102,3,Bofors 40mm,Comment,med,light,light,0,heavy,heavy,"DELW79, 22-NOV-00, info"
37,11220,TS/SCI,US,160856ZNOV06,16-NOV-06,0856Z,AA,AW-17,Dynamic,1404-79887,jz646,40101,Random,r,R,839,Function,3,BARRACKS,4,RUNWAYS,61,67,???,OHFF73,AC-130,WTMS90,Bristol AFB,USA,1,25mm GAU-12,3,25mm GAU-12,Comment,med,light,med,0,med,light,"WTMS90, 16-NOV-06, info"
38,03471,TS/SCI,US,080714ZJUL04,08-JUL-04,0714Z,AA,AW-17,Dynamic,6691-33277,zk116,20101,Loon Mountain,Lincoln,Graftron,650,Function,8,BARRACKS,6,RUNWAYS,44.036,-71.621,???,GVIH85,SR-71,NVJL82,Bristol AFB,USA,2,Bofors 40mm,5,105mm M102,Comment,heavy,light,med,0,med,light,"NVJL82, 08-JUL-04, info"
39,57334,TS/SCI,US,180549ZAUG14,18-AUG-14,0549Z,AA,AW-17,Dynamic,7310-76181,ye729,10103,Random,r,R,157,Function,8,RUNWAYS,5,BARRACKS,1,48,???,LNSH83,SR-71,TUBV84,Bristol AFB,USA,3,105mm M102,1,Bofors 40mm,Comment,med,med,light,0,heavy,light,"TUBV84, 18-AUG-14, info"
40,59950,TS/SCI,US,260439ZNOV05,26-NOV-05,0439Z,AA,AW-17,Deliberate,6796-35602,zd497,50102,Loon Mountain,Lincoln,Graftron,333,Function,3,RUNWAYS,2,OFFICE,44.036,-71.621,???,WMWM79,SR-71,ZQKX77,Bristol AFB,USA,2,25mm GAU-12,4,25mm GAU-12,Comment,light,light,med,0,light,heavy,"ZQKX77, 26-NOV-05, info"
41,76189,TS/SCI,US,031331ZAUG03,03-AUG-03,1331Z,AA,AW-17,Deliberate,9196-18154,uu726,40103,Loon Mountain,Lincoln,Graftron,468,Function,10,RUNWAYS,2,BARRACKS,44.036,-71.621,???,ZXZR82,SR-71,ZZNH87,Bristol AFB,USA,2,105mm M102,4,25mm GAU-12,Comment,med,light,heavy,0,light,light,"ZZNH87, 03-AUG-03, info"
42,81797,TS/SCI,US,061210ZJUN13,06-JUN-13,1210Z,AA,AW-17,Dynamic,8070-79735,ev308,10203,Sunday River,Newry,Oxford,118,Function,3,OFFICE,1,BARRACKS,44.469,-70.861,???,GLEB90,AC-130,IPNC87,Bristol AFB,USA,1,25mm GAU-12,5,Bofors 40mm,Comment,light,heavy,heavy,0,light,light,"IPNC87, 06-JUN-13, info"
43,32649,TS/SCI,US,151558ZJAN11,15-JAN-11,1558Z,AA,AW-17,Dynamic,6364-82581,jb694,30104,Loon Mountain,Lincoln,Graftron,825,Function,10,OFFICE,5,BARRACKS,44.036,-71.621,???,HMVC87,F-16,KEPG82,Bristol AFB,USA,4,25mm GAU-12,1,25mm GAU-12,Comment,med,heavy,med,0,light,light,"KEPG82, 15-JAN-11, info"
44,31367,TS/SCI,US,220413ZSEP13,22-SEP-13,0413Z,AA,AW-17,Deliberate,8638-62703,em185,40101,Loon Mountain,Lincoln,Graftron,216,Function,9,OFFICE,4,OFFICE,44.036,-71.621,???,AVML65,SR-71,JENE82,Bristol AFB,USA,2,105mm M102,4,Bofors 40mm,Comment,light,light,med,0,light,light,"JENE82, 22-SEP-13, info"
45,38182,TS/SCI,US,160450ZSEP04,16-SEP-04,0450Z,AA,AW-17,Dynamic,9683-33487,zh952,50202,Random,r,R,122,Function,9,RUNWAYS,2,BARRACKS,18,71,???,BAVZ83,AC-130,UXYC67,Bristol AFB,USA,1,25mm GAU-12,2,Bofors 40mm,Comment,heavy,med,light,0,heavy,med,"UXYC67, 16-SEP-04, info"
46,06730,TS/SCI,US,060006ZMAY07,06-MAY-07,0006Z,AA,AW-17,Dynamic,4143-04933,hm898,50202,Sunday River,Newry,Oxford,889,Function,8,OFFICE,5,RUNWAYS,44.469,-70.861,???,SMUM80,F-16,PJCD72,Bristol AFB,USA,3,105mm M102,4,Bofors 40mm,Comment,heavy,light,med,0,med,med,"PJCD72, 06-MAY-07, info"
47,64261,TS/SCI,US,172210ZFEB11,17-FEB-11,2210Z,AA,AW-17,Dynamic,9793-24082,iw994,50105,Random,r,R,373,Function,1,BARRACKS,1,BARRACKS,26,81,???,NGGB66,F-16,HLWJ71,Bristol AFB,USA,4,25mm GAU-12,2,Bofors 40mm,Comment,light,med,heavy,0,light,light,"HLWJ71, 17-FEB-11, info"
48,81382,TS/SCI,US,241135ZOCT01,24-OCT-01,1135Z,AA,AW-17,Dynamic,6522-15623,kq481,20103,Sunday River,Newry,Oxford,465,Function,5,OFFICE,8,OFFICE,44.469,-70.861,???,WAGO83,SR-71,MKKV89,Bristol AFB,USA,4,Bofors 40mm,5,Bofors 40mm,Comment,light,light,med,0,med,med,"MKKV89, 24-OCT-01, info"
49,56324,TS/SCI,US,141005ZMAY11,14-MAY-11,1005Z,AA,AW-17,Deliberate,0429-52008,ks092,40101,Sunday River,Newry,Oxford,485,Function,6,RUNWAYS,7,OFFICE,44.469,-70.861,???,GWZM73,AC-130,IFGZ73,Bristol AFB,USA,4,105mm M102,4,105mm M102,Comment,heavy,light,med,0,light,light,"IFGZ73, 14-MAY-11, info"
50,98634,TS/SCI,US,210515ZOCT04,21-OCT-04,0515Z,AA,AW-17,Deliberate,5958-62439,pz455,30104,Random,r,R,318,Function,1,OFFICE,4,RUNWAYS,8,83,???,RBRO86,SR-71,FGJW90,Bristol AFB,USA,5,Bofors 40mm,5,105mm M102,Comment,light,light,light,0,light,light,"FGJW90, 21-OCT-04, info"
51,09739,TS/SCI,US,252238ZAUG00,25-AUG-00,2238Z,AA,AW-17,Dynamic,8223-76483,yu419,30202,Random,r,R,489,Function,1,OFFICE,1,RUNWAYS,83,52,???,NQRC68,AC-130,CXVZ87,Bristol AFB,USA,1,105mm M102,1,25mm GAU-12,Comment,med,light,light,0,med,heavy,"CXVZ87, 25-AUG-00, info"
52,33889,TS/SCI,US,100933ZAPR13,10-APR-13,0933Z,AA,AW-17,Deliberate,1548-98970,ou853,50103,Loon Mountain,Lincoln,Graftron,851,Function,1,BARRACKS,1,BARRACKS,44.036,-71.621,???,INUA72,SR-71,PZJV74,Bristol AFB,USA,5,25mm GAU-12,5,105mm M102,Comment,light,light,light,0,med,heavy,"PZJV74, 10-APR-13, info"
53,72789,TS/SCI,US,111753ZFEB06,11-FEB-06,1753Z,AA,AW-17,Dynamic,3490-07297,vf184,40205,Random,r,R,242,Function,8,OFFICE,7,OFFICE,74,5,???,HDSJ86,SR-71,XUSV69,Bristol AFB,USA,1,25mm GAU-12,5,25mm GAU-12,Comment,light,light,heavy,0,light,heavy,"XUSV69, 11-FEB-06, info"
54,63038,TS/SCI,US,260203ZFEB08,26-FEB-08,0203Z,AA,AW-17,Deliberate,0400-27134,qk858,10104,Loon Mountain,Lincoln,Graftron,707,Function,5,RUNWAYS,8,RUNWAYS,44.036,-71.621,???,IFFD89,AC-130,OQHM75,Bristol AFB,USA,3,Bofors 40mm,1,25mm GAU-12,Comment,light,light,light,0,med,heavy,"OQHM75, 26-FEB-08, info"
55,70150,TS/SCI,US,130024ZNOV11,13-NOV-11,0024Z,AA,AW-17,Deliberate,9578-50120,yo116,30101,Loon Mountain,Lincoln,Graftron,399,Function,7,OFFICE,5,OFFICE,44.036,-71.621,???,BRSS85,AC-130,ATQB89,Bristol AFB,USA,5,Bofors 40mm,5,105mm M102,Comment,light,light,light,0,light,light,"ATQB89, 13-NOV-11, info"
56,17739,TS/SCI,US,222036ZAPR00,22-APR-00,2036Z,AA,AW-17,Dynamic,6556-45485,kf534,10104,Sunday River,Newry,Oxford,650,Function,8,BARRACKS,5,BARRACKS,44.469,-70.861,???,ULYK76,AC-130,SOVN86,Bristol AFB,USA,4,25mm GAU-12,3,105mm M102,Comment,heavy,med,heavy,0,heavy,med,"SOVN86, 22-APR-00, info"
57,20502,TS/SCI,US,131836ZMAY01,13-MAY-01,1836Z,AA,AW-17,Deliberate,6397-73016,qm622,50104,Loon Mountain,Lincoln,Graftron,865,Function,1,RUNWAYS,10,OFFICE,44.036,-71.621,???,OCPX87,SR-71,DXNZ89,Bristol AFB,USA,5,105mm M102,3,25mm GAU-12,Comment,light,med,light,0,light,heavy,"DXNZ89, 13-MAY-01, info"
58,88498,TS/SCI,US,111737ZSEP09,11-SEP-09,1737Z,AA,AW-17,Dynamic,3385-16829,vh456,40101,Sunday River,Newry,Oxford,693,Function,5,RUNWAYS,1,OFFICE,44.469,-70.861,???,SYOA75,F-16,MIJM84,Bristol AFB,USA,5,Bofors 40mm,4,25mm GAU-12,Comment,light,heavy,med,0,light,heavy,"MIJM84, 11-SEP-09, info"
59,39762,TS/SCI,US,011455ZOCT07,01-OCT-07,1455Z,AA,AW-17,Deliberate,3449-93453,tc339,50103,Loon Mountain,Lincoln,Graftron,917,Function,10,BARRACKS,4,OFFICE,44.036,-71.621,???,RWYJ74,SR-71,MFBY65,Bristol AFB,USA,2,Bofors 40mm,3,105mm M102,Comment,light,med,light,0,light,light,"MFBY65, 01-OCT-07, info"
60,74663,TS/SCI,US,031423ZAUG00,03-AUG-00,1423Z,AA,AW-17,Deliberate,3632-58506,yd168,30201,Loon Mountain,Lincoln,Graftron,429,Function,5,OFFICE,7,OFFICE,44.036,-71.621,???,AMTV79,F-16,GDUG80,Bristol AFB,USA,4,Bofors 40mm,5,105mm M102,Comment,light,light,light,0,light,light,"GDUG80, 03-AUG-00, info"
61,98727,TS/SCI,US,062036ZAUG13,06-AUG-13,2036Z,AA,AW-17,Dynamic,0680-83554,fd096,30205,Loon Mountain,Lincoln,Graftron,142,Function,3,OFFICE,10,OFFICE,44.036,-71.621,???,IHNV88,F-16,VZQD85,Bristol AFB,USA,1,25mm GAU-12,4,105mm M102,Comment,light,med,light,0,med,light,"VZQD85, 06-AUG-13, info"
62,29945,TS/SCI,US,190016ZJUL12,19-JUL-12,0016Z,AA,AW-17,Dynamic,5855-10989,ap145,30202,Loon Mountain,Lincoln,Graftron,576,Function,3,OFFICE,3,BARRACKS,44.036,-71.621,???,LNBA72,SR-71,CXFO66,Bristol AFB,USA,3,25mm GAU-12,1,25mm GAU-12,Comment,med,heavy,light,0,light,heavy,"CXFO66, 19-JUL-12, info"
63,05702,TS/SCI,US,112148ZSEP13,11-SEP-13,2148Z,AA,AW-17,Dynamic,4524-89050,ly310,40205,Sunday River,Newry,Oxford,198,Function,1,RUNWAYS,4,OFFICE,44.469,-70.861,???,MVPL83,SR-71,MUGX73,Bristol AFB,USA,5,105mm M102,3,Bofors 40mm,Comment,light,heavy,med,0,heavy,heavy,"MUGX73, 11-SEP-13, info"
64,08697,TS/SCI,US,070533ZOCT13,07-OCT-13,0533Z,AA,AW-17,Dynamic,7217-67718,jv557,40203,Random,r,R,576,Function,8,BARRACKS,5,BARRACKS,28,60,???,GEVU88,SR-71,AKAT75,Bristol AFB,USA,1,Bofors 40mm,4,25mm GAU-12,Comment,light,light,light,0,light,light,"AKAT75, 07-OCT-13, info"
65,59765,TS/SCI,US,241016ZFEB09,24-FEB-09,1016Z,AA,AW-17,Deliberate,3285-18183,yw332,50102,Random,r,R,577,Function,1,RUNWAYS,5,RUNWAYS,37,29,???,HUJD67,F-16,LMFI90,Bristol AFB,USA,3,25mm GAU-12,1,Bofors 40mm,Comment,med,light,light,0,med,med,"LMFI90, 24-FEB-09, info"
66,45571,TS/SCI,US,270353ZAPR06,27-APR-06,0353Z,AA,AW-17,Deliberate,3445-07079,cp136,50203,Random,r,R,971,Function,2,BARRACKS,10,BARRACKS,85,32,???,NTNF66,SR-71,TUZT82,Bristol AFB,USA,5,25mm GAU-12,4,25mm GAU-12,Comment,light,light,light,0,heavy,heavy,"TUZT82, 27-APR-06, info"
67,72093,TS/SCI,US,091305ZOCT09,09-OCT-09,1305Z,AA,AW-17,Dynamic,9881-86260,uj638,10203,Random,r,R,579,Function,9,BARRACKS,10,BARRACKS,61,86,???,YCEW77,F-16,GMZZ85,Bristol AFB,USA,2,Bofors 40mm,5,Bofors 40mm,Comment,heavy,light,light,0,light,med,"GMZZ85, 09-OCT-09, info"
68,65669,TS/SCI,US,151947ZSEP09,15-SEP-09,1947Z,AA,AW-17,Deliberate,5892-88113,hi036,30105,Sunday River,Newry,Oxford,720,Function,6,OFFICE,4,OFFICE,44.469,-70.861,???,VEBD81,AC-130,MSOE67,Bristol AFB,USA,3,105mm M102,1,105mm M102,Comment,med,light,med,0,med,heavy,"MSOE67, 15-SEP-09, info"
69,27852,TS/SCI,US,191436ZMAR02,19-MAR-02,1436Z,AA,AW-17,Deliberate,1932-56117,er219,10201,Sunday River,Newry,Oxford,562,Function,3,BARRACKS,8,OFFICE,44.469,-70.861,???,FJAG73,SR-71,OARP87,Bristol AFB,USA,2,Bofors 40mm,4,Bofors 40mm,Comment,med,light,light,0,med,heavy,"OARP87, 19-MAR-02, info"
